question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,explanation
83,single,建築・設備,orig_set05;昇降機;advanced;single_choice,マンションの昇降機に関する次の記述のうち、最も適切なものはどれか。,,,,,,昇降機は、法定検査に合格した後は、保守契約を締結しなくても安全性に問題は生じない。,昇降機では、安全性確保のため、法定検査だけでなく、日常的な保守点検や劣化部品への対応も重要である。,昇降機の更新判断は、見た目が古いかどうかだけで行えば足りる。,昇降機の故障は専有部分の問題であるため、管理組合が対応する必要はない。,2,正解は2です。昇降機は安全に直結する共用設備であり、法定検査に加えて、日常的な保守点検や劣化部品への対応が重要です。したがって2が最も適切です。1、3、4はいずれも昇降機の維持保全の考え方として不適切です。
84,combination,標準管理規約,orig_set05;修繕積立金取崩し;advanced;combination,修繕積立金の取崩しに関する次のアからエまでの記述のうち、マンション標準管理規約の考え方として適切なもののみの組合せはどれか。,,,,,,アとウ,アとエ,イとウ,イとエ,1,正解は1です。アとウが適切です。修繕積立金は、計画修繕やそれに付随する調査・設計監理費等に充てる性質のものであり、取崩しにあたっては使途の適否だけでなく必要な手続にも留意する必要があります。イとエは、修繕積立金を経常費の穴埋め資金のように扱っており誤りです。
85,single,民法・借地借家法,orig_set05;委任契約;advanced;single_choice,委任契約に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,,,,,,委任契約では、受任者は仕事を完成させる義務だけを負い、事務処理上の注意義務は負わない。,委任契約は、必ず有償でなければ成立しない。,受任者は、自分の注意義務の程度を問わず、結果が出なければ常に請負責任を負う。,受任者は、善良な管理者の注意をもって、委任事務を処理する義務を負う。,4,正解は4です。委任契約において、受任者は善良な管理者の注意をもって委任事務を処理する義務を負います。したがって4が正しいです。1と3は委任と請負を混同しており、2も委任が必ず有償でなければならないわけではないため誤りです。
86,single,会計・税務,orig_set05;消費税;basic;single_choice,管理組合の消費税に関する次の記述のうち、最も適切なものはどれか。,,,,,,管理組合が収受する全ての金銭は、内容を問わず一律に消費税課税対象となる。,管理組合に関する取引は、内容を問わず一切消費税の検討が不要である。,管理組合の消費税関係は、収受する金銭や支払う対価の性質に応じて、個別に整理して検討する必要がある。,消費税の処理は、会計区分だけで決まり、取引内容は考慮しない。,3,正解は3です。管理組合の消費税関係は、収受する金銭や支払う対価の性質に応じて個別に整理して考える必要があります。したがって3が最も適切です。1、2、4はいずれも内容を問わず一律に処理できるとする点で不適切です。
87,single,区分所有法,orig_set05;専有部分と共用部分;basic;precedent_fill,建物の区分所有等に関する法律によれば、専有部分とは、構造上[　]の建物の部分で、独立して住居、店舗、事務所又は倉庫その他建物としての用途に供することができるものをいう。この[　]に当てはまるものとして正しいものはどれか。,,,,,,独立した,共通した,一時的な,附属した,1,正解は1です。区分所有法2条では、専有部分とは、構造上独立した建物の部分で、独立して建物としての用途に供することができるものをいうとされています。したがって空欄には『独立した』が入ります。
88,single,建築・設備,orig_set05;消防設備;basic;case_based,マンションの消防設備について、設置後は長年点検を実施していないとの相談があった。この場合に関する次の記述のうち、最も適切なものはどれか。,,,,,,消防設備は一度設置すれば、非常時以外に点検や維持管理を行う必要はない。,消防設備は、非常時に確実に機能するよう、継続的な点検と維持管理を行うことが重要である。,消防設備の管理は、各居住者が自室内だけ注意していれば足り、共用部分設備の点検は不要である。,消防設備の不具合は、清掃状況にのみ起因するので、専門的点検は必要ない。,2,正解は2です。消防設備は、非常時に機能することが求められるため、設置後も継続的な点検と維持管理が重要です。したがって2が最も適切です。1、3、4はいずれも消防設備管理の考え方として不適切です。
89,single,標準管理規約,orig_set05;管理費と修繕積立金の使途;basic;single_choice,マンション標準管理規約によれば、管理費から支出するのが最も適切なものはどれか。,,,,,,共用部分の電気料,外壁等の計画修繕工事費,長期修繕計画の作成又は変更に要する調査費,災害等特別の事由による共用部分の修繕費,1,正解は1です。共用部分の電気料は、日常管理に要する経常費用として管理費から支出するのが基本です。他方、外壁等の計画修繕工事費、長期修繕計画に関する調査費、災害等特別の事由による修繕費は、標準管理規約上、修繕積立金から支出する性質の費用です。
90,single,民法・借地借家法,orig_set05;保証債務;basic;case_based,AがBの賃料債務を保証する約束をしたが、その内容は口頭でのみ合意され、書面等は作成されなかった。この場合に関する次の記述のうち、民法の規定によれば、最も適切なものはどれか。,,,,,,保証契約は、主たる債務が存在すれば、常に口頭だけで有効に成立する。,保証契約は、主たる債務者が承諾していなければ一切成立しない。,保証契約は、書面でしなければ、その効力を生じない。,保証契約は、一度口頭で成立すれば、後から書面化しても無効のままである。,3,正解は3です。民法446条2項は、保証契約は書面でしなければ、その効力を生じないと定めています。したがって3が最も適切です。1は方式要件を無視しており、2も不要な要件を付加しています。4も、後に適式な方式が整う可能性を一律に排除する趣旨ではありません。
91,single,会計・税務,orig_set05;貸借対照表;standard;comparison_table,貸借対照表に関する次の記述のうち、最も適切なものはどれか。,,,,,,貸借対照表は、当期中の収入と支出の差額だけを示す書類である。,貸借対照表は、一定時点における資産、負債及び純資産の状況を示す書類である。,貸借対照表は、将来の修繕予定だけを一覧化する書類である。,貸借対照表では、未収金や未払金を記載する意味はない。,2,正解は2です。貸借対照表は、一定時点における資産、負債及び純資産の状況を示す書類です。したがって2が正しいです。1は収支報告書等との混同であり、3と4も貸借対照表の役割を誤っています。
92,single,区分所有法,orig_set05;敷地利用権;standard;single_choice,敷地利用権に関する次の記述のうち、建物の区分所有等に関する法律の規定によれば、正しいものはどれか。,,,,,,敷地利用権は、専有部分とは無関係に、区分所有者が自由に単独処分できる。,敷地利用権は、規約の定めがある場合でも、専有部分の処分と切り離して扱うのが原則である。,区分所有者は、その有する専有部分と分離して敷地利用権を処分することができないのが原則である。,敷地利用権は、共用部分の持分とは異なり、建物区分所有制度とは無関係の権利である。,3,正解は3です。区分所有法では、区分所有者は、その有する専有部分と分離して敷地利用権を処分することができないのが原則です。したがって3が正しいです。1、2、4はいずれも敷地利用権と専有部分の一体性を誤っています。
93,single,建築・設備,orig_set05;給水タンク;standard;comparison_table,給水タンクに関する次の記述のうち、最も適切なものはどれか。,,,,,,給水タンクは、一度設置した後は、内部点検や清掃を考慮する必要がない。,給水タンクの衛生状態は、外壁塗装の色彩計画だけで維持できる。,給水タンクでは、水質管理よりも騒音対策だけを優先すれば足りる。,給水タンクでは、外部からの汚染を防ぎつつ、清掃や点検が適切に行えるよう維持管理することが重要である。,4,正解は4です。給水タンクでは、水質を良好に保つため、外部からの汚染防止と清掃・点検のしやすさを踏まえた維持管理が重要です。したがって4が最も適切です。1、2、3はいずれも給水設備の衛生管理として不適切です。
94,single,標準管理規約,orig_set05;理事会の権限;standard;case_based,マンション標準管理規約によれば、理事会の権限に属する事項として最も適切なものはどれか。,,,,,,規約を改正して管理費負担割合を変更すること,共用部分の軽微な補修について発注の実施を決めること,次年度の収支予算を最終承認すること,長期修繕計画を新規に作成して確定すること,2,正解は2です。理事会は、通常の管理執行に関する事項や軽微な補修の実施などを扱うことがあります。他方、規約変更、収支予算の承認、長期修繕計画の作成・確定などは総会事項です。したがって2が最も適切です。
95,count,民法・借地借家法,orig_set05;相殺;standard;count,相殺に関する次のアからエまでの記述のうち、民法の規定によれば、正しいものはいくつあるか。,,,,,,一つ,二つ,三つ,四つ,2,正解は2です。正しいのはアとイの二つです。相殺には、双方の債務が同種の目的を有し、相殺適状にあることが必要です。他方、相殺には禁止特約や法定の制限があり得るため、ウは誤りです。エも、相殺は相手方の承諾を常に要するわけではありません。
96,combination,会計・税務,orig_set05;収支報告書;standard;combination,収支報告書に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとウ,アとエ,イとウ,イとエ,1,正解は1です。アとウが適切です。収支報告書は、一定期間における収入及び支出の状況を示す書類であり、予算比較や前期比較も読解上有用です。イは貸借対照表との混同であり、エも収支内容の読解を不当に単純化しています。
97,single,区分所有法,orig_set05;規約共用部分;standard;case_based,管理員室として用いている附属建物について、管理組合が規約で共用部分として明確化しようとしている。この場合に関する次の記述のうち、建物の区分所有等に関する法律の規定によれば、最も適切なものはどれか。,,,,,,附属建物は、規約で共用部分とすることができず、常に特定の区分所有者の専有部分にしなければならない。,附属建物については、規約により共用部分と定めることがあり得る。,規約共用部分とした場合、その部分は区分所有法の適用対象外となる。,規約共用部分とするには、必ず全区分所有者の専有部分面積が完全に同一でなければならない。,2,正解は2です。区分所有法4条2項により、附属の建物は、規約により共用部分とすることがあり得ます。したがって2が最も適切です。1、3、4はいずれも規約共用部分の考え方を誤っています。
98,combination,建築・設備,orig_set05;排水設備;standard;combination,排水設備に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとイ,アとウ,イとエ,ウとエ,2,正解は2です。アとウが適切です。排水トラップは封水によって下水臭や害虫の侵入を防止し、横引き排水管には排水を円滑に行うための適切な勾配が必要です。イは通気管の役割を誤っており、エも勾配の考え方として不適切です。
99,combination,標準管理規約,orig_set05;総会出席と代理;standard;combination,総会への出席と議決権行使に関する次のアからエまでの記述のうち、マンション標準管理規約の考え方として適切なもののみの組合せはどれか。,,,,,,アとイ,イとウ,アとエ,ウとエ,3,正解は3です。アとエが適切です。標準管理規約では、組合員は書面又は代理人によって議決権を行使でき、専有部分が共有の場合には議決権を行使すべき者一名を定める整理になります。イとウは、この基本を誤っています。
100,combination,民法・借地借家法,orig_set05;債権譲渡;standard;combination,債権譲渡に関する次のアからエまでの記述のうち、民法の規定によれば、正しいもののみの組合せはどれか。,,,,,,アとウ,アとイ,イとエ,ウとエ,1,正解は1です。アとウが正しいです。民法では、債権は原則として譲渡可能であり、債権譲渡を債務者に対抗するには通知又は承諾が関係します。イは譲渡制限特約の効力を極端に捉え過ぎており、エも債務者の事前承諾がなければ一切譲渡できないとする点で誤りです。
101,count,会計・税務,orig_set06;減価償却不要論点;standard;accounting_table,管理組合会計と減価償却に関する次の記述のうち、最も適切なものはどれか。,,,,,,管理組合会計では、全ての共用部分について企業会計と全く同じ方法で必ず減価償却を行わなければならない。,管理組合会計では、企業会計の考え方をそのまま機械的に適用するのではなく、管理組合会計の目的に即して整理する必要がある。,減価償却をしないなら、貸借対照表や収支報告書を作成する意味はない。,減価償却の論点は、管理組合会計では修繕積立金の使途区分とも無関係である。,2,正解は2です。管理組合会計では、企業会計の論点をそのまま機械的に当てはめるのではなく、管理組合の財産管理や会計報告の目的に即して整理する必要があります。したがって2が最も適切です。1、3、4はいずれも極端です。
102,combination,区分所有法,orig_set06;総会決議要件;standard;combination,集会の決議要件に関する次のアからエまでの記述のうち、建物の区分所有等に関する法律の規定によれば、正しいもののみの組合せはどれか。,,,,,,アとイ,アとウ,イとエ,ウとエ,2,正解は2です。アとウが正しいです。区分所有法では、集会の一般議事は原則として区分所有者及び議決権の各過半数で決し、規約の設定、変更又は廃止は原則として各4分の3以上の多数で決します。したがってイとエは誤りです。
103,single,建築・設備,orig_set06;建築材料;standard;single_choice,建築材料に関する次の記述のうち、最も適切なものはどれか。,,,,,,建築材料は、どの部位に使う場合でも見た目だけで選べばよい。,外部に用いる材料では、耐久性や劣化への配慮は不要である。,建築材料の選定では、用途、耐久性、維持管理性などを考慮することが重要である。,建築材料の違いは、マンションの維持管理にはほとんど影響しない。,3,正解は3です。建築材料の選定では、用途、耐久性、維持管理性などを考慮することが重要です。したがって3が最も適切です。1、2、4はいずれも建築材料の選定や管理の考え方として不適切です。
104,single,標準管理規約,orig_set06;専有部分への立入り;standard;single_choice,専有部分への立入りに関する次の記述のうち、マンション標準管理規約の考え方として最も適切なものはどれか。,,,,,,管理を行うため必要があるときは、必要な範囲で専有部分等への立入りを請求でき、請求を受けた者は正当な理由なく拒んではならない。,専有部分への立入りは、管理上必要であっても常に禁止される。,立入りの必要性がなくても、理事長は自由に専有部分へ立ち入ることができる。,立入り請求を受けた者は、理由の有無を問わず常に拒否できる。,1,正解は1です。標準管理規約では、管理を行うため必要があるときは必要な範囲で専有部分等への立入りを請求でき、請求を受けた者は正当な理由なくこれを拒むことができないと整理されます。したがって1が最も適切です。
105,single,民法・借地借家法,orig_set06;契約不適合責任;standard;single_choice,契約不適合責任に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,,,,,,契約不適合があっても、買主は修補や代替物引渡しを求めることができない。,売主が契約不適合を知りながら告げなかった場合でも、買主は何ら請求できない。,代金減額請求は、契約不適合責任とは無関係の制度である。,買主は、目的物が契約の内容に適合しないときは、一定の場合に代金の減額を請求することができる。,4,正解は4です。民法上、目的物が契約の内容に適合しないとき、買主は追完請求をすることができ、一定の場合には代金の減額を請求することもできます。したがって4が正しいです。1、2、3はいずれも契約不適合責任の基本を誤っています。
106,single,会計・税務,orig_set06;修繕積立金会計;advanced;single_choice,修繕積立金会計に関する次の記述のうち、最も適切なものはどれか。,,,,,,修繕積立金会計は、主として日常の清掃費や電気料を支払うための会計である。,修繕積立金会計は、将来の計画修繕等に備える資金を管理する会計である。,修繕積立金は、その時点の理事長判断で自由に目的外使用してよい。,修繕積立金会計は、管理組合の会計区分とは無関係である。,2,正解は2です。修繕積立金会計は、将来の計画修繕や特別の修繕等に備える資金を管理する会計です。したがって2が最も適切です。1、3、4はいずれも修繕積立金会計の性格を誤っています。
107,single,区分所有法,orig_set06;義務違反者への措置;advanced;precedent_fill,共同生活上の障害が著しく、他の方法によってはその障害を除去することが困難である場合に、区分所有法59条が定める請求は区分所有権等の[　]請求である。この[　]に当てはまるものとして正しいものはどれか。,,,,,,明渡し,使用禁止,差止め,競売,4,正解は4です。区分所有法59条は、一定の場合に区分所有権及び敷地利用権の競売請求を認めています。差止めは57条、使用禁止は58条の論点です。
108,single,建築・設備,orig_set06;断熱結露;advanced;case_based,冬季に北側住戸の窓周辺や壁隅部で結露が頻発している。結露対策として最も適切なものはどれか。,,,,,,結露防止のため、換気設備の使用をできるだけ止める。,外気温だけが原因なので、室内の湿気や断熱状態は考えなくてよい。,開口部や外壁の断熱性を見直すとともに、室内の換気を適切に確保する。,家具配置を変えるだけで、他の対応は不要である。,3,正解は3です。結露は、表面温度の低さと室内湿気の多さが重なると生じやすくなるため、断熱性の向上と換気確保を組み合わせて対策するのが基本です。
109,single,標準管理規約,orig_set06;特別の影響;advanced;case_based,特定の住戸だけに新たな高額負担を課す規約変更をする場合の手続として、最も適切なものはどれか。,,,,,,特別決議さえあれば、影響を受ける区分所有者の承諾は不要である。,一部の区分所有者の権利に特別の影響を及ぼすときは、その者の承諾が必要になる。,理事会が合理的と判断すれば、総会決議自体が不要となる。,特別の影響かどうかは法律問題ではなく、自由裁量で決めてよい。,2,正解は2です。規約変更が一部の区分所有者の権利に特別の影響を及ぼすときは、その区分所有者の承諾が必要です。したがって2が最も適切です。
110,single,民法・借地借家法,orig_set06;使用貸借;advanced;case_based,書面によらない使用貸借に関する次の記述のうち、民法の規定によれば、最も適切なものはどれか。,,,,,,書面によらない使用貸借では、目的物の引渡し前であれば解除が問題となる。,使用貸借では、通常必要費は常に貸主が負担する。,使用貸借は、第三者に自由に使用収益させてよい。,使用貸借は、必ず有償でなければ成立しない。,1,正解は1です。書面によらない使用貸借は、目的物の引渡し前であれば解除することができます。他方、通常必要費は借主が負担するのが原則であり、第三者使用にも制約があります。
111,single,会計・税務,orig_set06;未収入金;basic;comparison_table,未収入金に関する次の記述のうち、最も適切なものはどれか。,,,,,,未収入金は、将来支払うべき費用を表す。,未収入金は、将来の期間分を先にもらった収入である。,未収入金は、既に発生しているが、まだ回収していない収入を表す。,未収入金は、現金出納簿に記録できないので会計上無視する。,3,正解は3です。未収入金は、既に発生しているがまだ回収していない収入を表します。1は未払金、2は前受金に近い説明であり、4も誤りです。
112,single,区分所有法,orig_set06;一部滅失と建替え;basic;single_choice,共用部分の一部滅失後の建物の扱いに関する次の記述のうち、最も適切なものはどれか。,,,,,,一部滅失があれば、当然に建替えしか選択できない。,一部滅失後には復旧の要否が問題となり、建替えをするには別途の決議要件を満たす必要がある。,一部滅失後の対応は理事長が単独で決定する。,一部滅失後には区分所有法は適用されない。,2,正解は2です。一部滅失後には復旧の要否がまず問題となり、建替えは別途の法定決議事項です。したがって2が最も適切です。
113,single,建築・設備,orig_set06;エレベーター保守;basic;comparison_table,エレベーター保守契約に関する次の記述のうち、最も適切なものはどれか。,,,,,,POG契約とFM契約に違いはなく、名称だけが異なる。,POG契約は、常に全面更新費用まで含む。,FM契約は、点検だけを対象とし、修理費等は一切含まない。,POG契約は点検・調整中心で、FM契約は通常の修理や部品取替費用を含む形が多い。,4,正解は4です。実務上、POG契約は点検・調整中心、FM契約は通常の修理や部品取替費用を含む包括型であることが多いです。
114,combination,標準管理規約,orig_set06;役員の任務;basic;combination,役員の任務に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとウ,アとエ,イとウ,イとエ,1,正解は1です。アとウが適切です。理事長は代表・統括の役割を担い、監事は監査を行います。イとエは誤りです。
115,count,民法・借地借家法,orig_set06;賃貸借の対抗力;basic;count,賃貸借の対抗力に関する次のアからエまでの記述のうち、正しいものはいくつあるか。,,,,,,一つ,二つ,三つ,四つ,2,正解は2です。正しいのはアとイの二つです。建物賃貸借は建物の引渡しにより、また不動産賃貸借は登記により、第三者に対抗できる場合があります。ウとエは誤りです。
116,combination,会計・税務,orig_set06;源泉徴収;standard;combination,源泉徴収に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとイ,イとウ,アとエ,ウとエ,3,正解は3です。アとエが適切です。源泉徴収の要否は支払内容等に応じて個別に判断する必要があり、会計処理だけでなく税務上の整理も求められます。イとウのような一律整理は不適切です。
117,single,区分所有法,orig_set06;管理者;standard;case_based,管理者の地位に関する次の記述のうち、建物の区分所有等に関する法律の規定によれば、最も適切なものはどれか。,,,,,,管理者は、規約又は集会の決議により選任され、共用部分の保存や集会決議の実行に関わる。,管理者は、全区分所有者の個別書面同意がなければ選任できない。,管理者には代表権や保存行為権限は一切ない。,管理者は、専有部分の処分を自由に決める権限を持つ。,1,正解は1です。区分所有法では、管理者は規約又は集会の決議で選任され、共用部分の保存や集会決議の実行などの事務を担います。2、3、4は誤りです。
118,combination,建築・設備,orig_set06;配管更新;standard;combination,配管更新工事に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとイ,イとウ,アとエ,ウとエ,4,正解は4です。ウとエが適切です。配管更新では、専有部分との接続部や復旧範囲の調整、断水等に伴う工程調整や周知が重要です。アとイは誤りです。
119,single,標準管理規約,orig_set06;議事録;standard;single_choice,総会議事録に関する次の記述のうち、最も適切なものはどれか。,,,,,,議事録は管理会社だけが作成し、組合員署名は不要である。,議事録には出席組合員全員の署名が必要である。,議事録は議長が作成し、議長及び総会で選任された出席組合員2名が署名する。,議事録は理事会承認後でなければ作成してはならない。,3,正解は3です。標準管理規約では、議事録は議長が作成し、議長と総会で選任された出席組合員2名が署名します。
120,combination,民法・借地借家法,orig_set06;相続と債務承継;standard;combination,相続と債務承継に関する次のアからエまでの記述のうち、正しいもののみの組合せはどれか。,,,,,,アとイ,アとウ,イとエ,ウとエ,2,正解は2です。アとウが正しいです。相続人は原則として権利義務を包括承継し、限定承認又は相続放棄は3か月以内に行うのが原則です。イとエは誤りです。
121,count,会計・税務,orig_set07;保険料処理;standard;accounting_table,保険料の会計処理に関する次の記述のうち、最も適切なものはどれか。,,,,,,翌年度分を含む保険料も、全額を当年度費用にするのが唯一の方法である。,翌年度分を含む保険料を支払った場合は、期間対応を踏まえて前払費用として整理することがある。,保険料は、支払時期にかかわらず常に修繕積立金会計で処理する。,保険料処理では、支払内容や対象期間を考える必要はない。,2,正解は2です。複数期間に対応する保険料を前払いした場合には、期間対応を踏まえて前払費用として整理することがあります。したがって2が最も適切です。
122,combination,区分所有法,orig_set07;規約設定変更;standard;combination,規約の設定又は変更に関する次のアからエまでの記述のうち、正しいもののみの組合せはどれか。,,,,,,アとウ,アとエ,イとウ,イとエ,1,正解は1です。アとウが正しいです。規約変更は原則として各4分の3以上の決議によるほか、特別の影響があるときは承諾が必要です。
123,single,建築・設備,orig_set07;容積率と延べ面積;standard;single_choice,容積率に関する次の記述のうち、正しいものはどれか。,,,,,,容積率は、建築物の延べ面積の敷地面積に対する割合である。,容積率は、建築面積の敷地面積に対する割合である。,容積率は、階数だけで決まる。,容積率は、専有部分面積だけで算定する。,1,正解は1です。容積率は、建築物の延べ面積の敷地面積に対する割合です。2は建ぺい率との混同です。
124,single,標準管理規約,orig_set07;長期修繕計画;standard;case_based,長期修繕計画の見直しに関する次の記述のうち、最も適切なものはどれか。,,,,,,一度作成した長期修繕計画は、建物状況が変わっても見直す必要がない。,長期修繕計画は、理事長個人が秘密に保有すべきものである。,長期修繕計画と修繕積立金見通しは無関係である。,長期修繕計画は、劣化状況や工事実績等を踏まえて定期的に見直すことが望ましい。,4,正解は4です。長期修繕計画は固定的なものではなく、劣化状況や工事実績等を踏まえて見直すことが望ましい資料です。
125,single,民法・借地借家法,orig_set07;同時履行の抗弁;standard;single_choice,同時履行の抗弁に関する次の記述のうち、正しいものはどれか。,,,,,,同時履行の抗弁は、片務契約にのみ認められる。,双務契約の当事者は、相手方がその債務を履行し又は履行の提供をするまで、自己の債務の履行を拒むことができる。,同時履行の抗弁を主張するには、必ず損害発生が必要である。,相手方の履行提供がなくても、常に履行を続けなければならない。,2,正解は2です。民法533条により、双務契約の当事者は、相手方が履行し又は履行の提供をするまで、自己の債務の履行を拒むことができます。
126,single,会計・税務,orig_set07;管理費収入;standard;single_choice,管理費収入に関する次の記述のうち、最も適切なものはどれか。,,,,,,管理費収入は、共用部分の日常管理に要する経費をまかなうための基本的な財源である。,管理費収入は、原則として大規模修繕工事費だけに充てる。,管理費収入は、管理組合会計とは無関係の預り金である。,管理費収入は、理事長個人が自由に使途を決めてよい。,1,正解は1です。管理費収入は、共用部分の日常管理に要する経費をまかなうための基本的な財源です。2、3、4は誤りです。
127,single,区分所有法,orig_set07;占有者の地位;standard;precedent_fill,区分所有法によれば、占有者は、建物の保存に有害な行為その他[　]に反する行為をしてはならない。この[　]に当てはまるものとして正しいものはどれか。,,,,,,個人の嗜好,賃貸人の指示,共同の利益,理事長の意向,3,正解は3です。区分所有法では、占有者は建物の保存に有害な行為その他共同の利益に反する行為をしてはならないとされています。
128,single,建築・設備,orig_set07;非常用照明;standard;case_based,非常用照明の役割として最も適切なものはどれか。,,,,,,平常時の装飾照明を増やすことだけが目的である。,火災時の消火活動専用で、避難安全とは無関係である。,通常照明がある建物では、停電時対策としての役割はない。,停電時に避難経路の安全を確保するために必要な照明を維持する役割がある。,4,正解は4です。非常用照明は、停電時に避難経路の安全を確保するために必要な照明を維持する設備です。
129,combination,標準管理規約,orig_set07;滞納管理費対応;standard;combination,滞納管理費対応に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとイ,アとウ,イとエ,ウとエ,2,正解は2です。アとウが適切です。滞納管理費等には、督促や必要に応じた法的手続など段階的対応をとることがあります。イとエは誤りです。
130,single,民法・借地借家法,orig_set07;履行遅滞と解除;standard;case_based,履行遅滞と解除に関する次の記述のうち、最も適切なものはどれか。,,,,,,原則として、相当の期間を定めて履行を催告し、その期間内に履行がなければ解除できる。,履行期を一日過ぎた時点で、常に無催告解除できる。,履行遅滞があっても、解除には相手方の同意が必要である。,履行遅滞では、損害賠償だけが可能で解除は不可能である。,1,正解は1です。履行遅滞による解除は、原則として相当の期間を定めて催告し、その期間内に履行がなければ可能となります。
131,single,会計・税務,orig_set07;勘定科目判定;advanced;comparison_table,勘定科目の判定に関する次の記述のうち、最も適切なものはどれか。,,,,,,勘定科目は、金額の大きさだけで決めるのが原則である。,勘定科目は、その金銭が将来期間に対応するものか、第三者へ渡すものか、未収未払かなどの性質で判定する。,同じ金銭でも、年度ごとに自由に科目を変えてよい。,勘定科目判定では、会計上の意味を考える必要はない。,2,正解は2です。勘定科目は、金額ではなく、その金銭の性質に応じて判定することが重要です。
132,single,区分所有法,orig_set07;団地関係;advanced;single_choice,団地関係に関する次の記述のうち、最も適切なものはどれか。,,,,,,団地内の共有施設でも、他棟との共同管理は一切できない。,共有施設の処分は、各棟理事長が自由に個別決定してよい。,複数棟の共有施設については、団地関係の規律の下で全棟共通事項を処理することがある。,団地関係では、区分所有法は適用されない。,3,正解は3です。団地関係では、複数棟の区分所有者に共通する施設や利害に関する事項を、全体で処理することがあります。
133,single,建築・設備,orig_set07;給排水衛生設備;advanced;comparison_table,給排水衛生設備に関する次の対応のうち、最も適切なものはどれか。,,,,,,トラップ - 封水で下水臭や害虫の侵入を防止する,受水槽 - 排水臭気を屋外へ逃がす設備,通気管 - 排水管内の空気の流れを止める設備,排水ます - 飲用水を一時貯留する設備,1,正解は1です。トラップは封水によって下水臭や害虫の侵入を防止する設備です。他の選択肢は設備の役割を取り違えています。
134,single,標準管理規約,orig_set07;駐車場使用細則;advanced;single_choice,駐車場使用細則に関する次の記述のうち、最も適切なものはどれか。,,,,,,駐車場使用細則は、標準管理規約上予定されていない。,使用料は理事長が都度自由に決めれば足りる。,細則は管理会社が単独で制定するのが原則である。,駐車場の使用方法や使用料等については、細則で定めて運用することがある。,4,正解は4です。駐車場については、使用方法や使用料等を細則で定めて運用することがあります。1、2、3は誤りです。
135,count,民法・借地借家法,orig_set07;無断転貸;advanced;count,無断転貸等に関する次のアからエまでの記述のうち、正しいものはいくつあるか。,,,,,,一つ,二つ,三つ,四つ,2,正解は2です。正しいのはアとイの二つです。賃借権譲渡や転貸には賃貸人の承諾が必要で、無断の場合には解除が問題となります。
136,combination,会計・税務,orig_set07;前受金と預り金;basic;combination,前受金と預り金に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとイ,アとエ,イとウ,ウとエ,4,正解は4です。ウとエが適切です。前受金は将来期間分の受入れ、預り金は一時的に受け入れて後日支払うべき金銭の整理に用います。
137,single,区分所有法,orig_set07;復旧決議;basic;case_based,共用部分が一部滅失した場合の復旧判断に関する次の記述のうち、最も適切なものはどれか。,,,,,,一部滅失後には、復旧を行うかどうかが問題となり、区分所有者の意思決定が必要となる。,一部滅失があれば、理事長が単独で必ず建替えを決定する。,一部滅失後には、復旧を検討する余地はなく、常に放置が原則である。,一部滅失後には、区分所有法の規律は及ばない。,1,正解は1です。一部滅失後には、復旧を行うかどうかが区分所有者の意思決定事項となります。2、3、4は誤りです。
138,combination,建築・設備,orig_set07;換気設備;basic;combination,換気設備に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとウ,アとイ,イとエ,ウとエ,1,正解は1です。アとウが適切です。換気は湿気や汚染物質の排出に役立ち、給気経路も重要です。イとエは誤りです。
139,single,標準管理規約,orig_set07;専用使用権;basic;case_based,専用使用権に関する次の記述のうち、最も適切なものはどれか。,,,,,,専用使用部分は専有部分と同一であり、自由増築できる。,専用使用部分は、共用部分等について特定の組合員に使用を認めるもので、規約や細則の制約を受ける。,専用使用権があれば、管理組合の管理対象から外れる。,標準管理規約では、専用使用権は予定されていない。,2,正解は2です。専用使用部分は共用部分等を前提とするため、規約や細則の制約を受けます。1、3、4は誤りです。
140,combination,民法・借地借家法,orig_set07;時効と承認;basic;combination,時効と承認に関する次のアからエまでの記述のうち、正しいもののみの組合せはどれか。,,,,,,アとイ,アとウ,イとエ,ウとエ,2,正解は2です。アとウが正しいです。催告は完成猶予、承認は更新の効果を持ちます。
